SMILES,MolWt,LogP,QED
COc1cc(Cl)cc2c1OC(C)C(=O)N(c1c(F)cccc1F)C2,353.0630274,3.9409,0.820499693
COc1ccc(N2CC(C(=O)Oc3cc(C)ccc3C)CC2=O)cc1,339.1470582,3.27054,0.633604683
CC1CCC(C(N)=O)CN1C(=O)Nc1cnn(C(C)(C)C)c1,307.200825,1.7558,0.871419657
CN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)c1cn2ccccc2n1,333.1225747,1.843,0.620005175
CC(C)c1noc(C(C)N2CCN(CC(=O)N(C)C)CC2)n1,309.2164751,0.9598,0.807001593
Cc1csc(SCC(O)c2ccc(F)cc2)n1,269.0344342,3.41632,0.863389358
COC(=O)CC(NC(=O)c1cnc(NC(=O)OCC2c3ccccc3-c3ccccc32)s1)C(=O)O,495.110021,3.2502,0.404138168
ON=C1CCCCC1=CC=Cc1ccccc1,227.1310142,4.0304,0.600117416
CC(C)N(C)CC(=O)N1CCN(C2CCCC2O)CC1,283.2259772,0.3842,0.810407018
COCC(C)NC(=O)CCn1ncc(=O)c2ccccc21,289.1426415,0.9377,0.858601871
COC(=O)CC(NC(=O)Nc1ccc(OC)cc1)C1CC1,292.1423071,2.1584,0.787708104
COC1CC(c2ncn[nH]2)N(Cc2nc(-c3ccccc3F)no2)C1,344.139702,1.9558,0.755984021
CNc1nc(N2CCCC(c3nnc(Cn4ccnc4)n3C)C2)nc2c1CCC2,393.2389419,1.7643,0.7063934
COc1ncnc2c1CN(c1cnc3ccccc3n1)CC2,293.1276601,1.9911,0.7197589
c1ccc2c(c1)C1c3ccccc3C2C2N=NC12,232.1000484,3.4804,0.664042197
Cc1cc(=O)oc2cc(NC(=O)N3CCN(CCOCCO)CC3)ccc12,375.1794209,1.25982,0.583036889
C=CC1(C)CC(O)C2(CCC3C(C)(C(=O)O)CCCC3(C)C2=O)C1,334.2144094,3.58,0.757001475
O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CCCCOc1cccc([N+](=O)[O-])c1,445.1637708,4.2494,0.229621821
C=CCNC(=O)CSc1nnc(-c2ccccc2OC)n1C,318.1150468,1.885,0.623460591
CCn1cnnc1CCN=C(O)C1CCc2cccc(O)c21,300.1586259,2.2326,0.654938355
O=C(NC1CCc2nccn2C1)c1ccc(=O)n(-c2ccccc2)n1,335.1382248,1.1738,0.778989913
CCNC(=O)C(C)N(Cc1ccccc1C)C(=O)CN(c1ccc(C)cc1C)S(C)(=O)=O,459.2191775,2.93126,0.624675853
Cc1cc(CNC2CCc3c(sc4ncn(CCc5ccccc5)c(=O)c34)C2)on1,420.161997,3.64422,0.51552945
CC(=O)N1CCCC(C(=O)OCc2ccc(C(N)=O)cc2[N+](=O)[O-])C1,349.1273853,0.9954,0.478722236
Cc1cccc(COc2ccc(C(O)=C3C(=O)C(=O)N(CCCN(C)C)C3c3cccnc3)cc2)c1,485.2314565,4.34242,0.275807001
CS(=O)(=O)N1CC(C(=O)NC2CCCCCC2)Oc2ccc(Cl)cc21,386.1067059,2.706,0.810178082
O=C(Cc1ccccc1Cl)NCC(O)C1CCCCC1,295.1339066,2.9399,0.877305728
CC(Sc1nnc(COc2ccccc2F)n1N)C(=O)Nc1nc(-c2ccccc2)cs1,470.0994941,3.9528,0.296461967
CCn1ccc(C2NCC23CCOC3)c1,206.1419132,1.559,0.794433381
Cn1ccnc1C(O)c1cccc(OCc2ccccc2)c1,294.1368278,3.0808,0.786375341
COc1cccc(-c2c[nH]c(C3CCCN3Cc3nc4ccccc4c(=O)[nH]3)n2)c1,401.185175,3.6589,0.532948493
CC1CCCCC12NC(=O)N(CC(=O)N1CCN(CC(=O)NC3CC3)CC1)C2=O,405.2376045,-0.0901,0.622703381
COC(=O)C(C(=O)CSc1nnnn1-c1ccc(C)cc1)=C1Nc2ccccc2N1,422.1161094,2.55412,0.203474163
Cn1c(SCC(C#N)CCC#N)nnc1-c1ccc(F)cc1,315.0953947,3.15686,0.765101156
